DATE,Consumer Price Index
1/1/1953,28.7
2/1/1953,28.7
3/1/1953,28.4
4/1/1953,28.3
5/1/1953,27.5
6/1/1953,26.9
7/1/1953,26.5
8/1/1953,26
9/1/1953,25.5
10/1/1953,25.2
11/1/1953,24.8
12/1/1953,24.7
1/1/1954,24.2
2/1/1954,23.5
3/1/1954,23.1
4/1/1954,22.9
5/1/1954,22.7
6/1/1954,22.8
7/1/1954,22.6
8/1/1954,22.5
9/1/1954,22.4
10/1/1954,22.2
11/1/1954,22.1
12/1/1954,21.9
1/1/1955,22.4
2/1/1955,22.4
3/1/1955,22.4
4/1/1955,21.3
5/1/1955,21.7
6/1/1955,21.7
7/1/1955,21.5
8/1/1955,21.2
9/1/1955,21.2
10/1/1955,20.9
11/1/1955,20.8
12/1/1955,20.5
1/1/1956,20.1
2/1/1956,20.5
3/1/1956,20
4/1/1956,20
5/1/1956,20.6
6/1/1956,20.2
7/1/1956,20.5
8/1/1956,20.8
9/1/1956,20.8
10/1/1956,21.4
11/1/1956,21.5
12/1/1956,21.7
1/1/1957,22.3
2/1/1957,22.3
3/1/1957,23.1
4/1/1957,23.2
5/1/1957,23.3
6/1/1957,23.2
7/1/1957,23.1
8/1/1957,23.3
9/1/1957,23.4
10/1/1957,23.5
11/1/1957,23.7
12/1/1957,23.5
1/1/1958,23.2
2/1/1958,23.3
3/1/1958,23.1
4/1/1958,23.3
5/1/1958,23.5
6/1/1958,23.4
7/1/1958,23.9
8/1/1958,24.1
9/1/1958,24.7
10/1/1958,24.9
11/1/1958,25.2
12/1/1958,25.6
1/1/1959,25.9
2/1/1959,26.1
3/1/1959,26.4
4/1/1959,26.6
5/1/1959,26.6
6/1/1959,26.8
7/1/1959,27.3
8/1/1959,27.2
9/1/1959,27.5
10/1/1959,27
11/1/1959,27
12/1/1959,27.2
1/1/1960,27.2
2/1/1960,27.8
3/1/1960,26.5
4/1/1960,25.5
5/1/1960,25.4
6/1/1960,25.2
7/1/1960,24.7
8/1/1960,24.5
9/1/1960,23.6
10/1/1960,23.7
11/1/1960,23.1
12/1/1960,23.7
1/1/1961,23.6
2/1/1961,24.7
3/1/1961,24
4/1/1961,25.3
5/1/1961,25.7
6/1/1961,26.3
7/1/1961,26.5
8/1/1961,27
9/1/1961,27.1
10/1/1961,27.4
11/1/1961,27.5
12/1/1961,27
1/1/1962,27.1
2/1/1962,27.3
3/1/1962,27.3
4/1/1962,28.2
5/1/1962,28.6
6/1/1962,28.6
7/1/1962,28.5
8/1/1962,28.8
9/1/1962,29.2
10/1/1962,29
11/1/1962,29.2
12/1/1962,28.7
1/1/1963,27.2
2/1/1963,28.1
3/1/1963,28.5
4/1/1963,28.7
5/1/1963,28.6
6/1/1963,28.7
7/1/1963,28.7
8/1/1963,28.8
9/1/1963,29.2
10/1/1963,29.2
11/1/1963,29.5
12/1/1963,29.7
1/1/1964,30.2
2/1/1964,30.2
3/1/1964,30.1
4/1/1964,29.9
5/1/1964,30
6/1/1964,29.9
7/1/1964,29.8
8/1/1964,29.6
9/1/1964,29.6
10/1/1964,29.6
11/1/1964,30
12/1/1964,30.6
1/1/1965,31.1
2/1/1965,30.9
3/1/1965,30.6
4/1/1965,29.9
5/1/1965,29.8
6/1/1965,29.9
7/1/1965,29.8
8/1/1965,29.2
9/1/1965,29
10/1/1965,29.1
11/1/1965,29
12/1/1965,29.3
1/1/1966,28.9
2/1/1966,29
3/1/1966,29
4/1/1966,29.1
5/1/1966,28.9
6/1/1966,28.8
7/1/1966,29.1
8/1/1966,29.6
9/1/1966,29.3
10/1/1966,29.4
11/1/1966,29.2
12/1/1966,28.2
1/1/1967,28.6
2/1/1967,29
3/1/1967,29.2
4/1/1967,29.3
5/1/1967,29.4
6/1/1967,29.6
7/1/1967,30.1
8/1/1967,30.5
9/1/1967,30.9
10/1/1967,30.8
11/1/1967,30.9
12/1/1967,31.1
1/1/1968,31.7
2/1/1968,31.4
3/1/1968,31.4
4/1/1968,31.2
5/1/1968,30.7
6/1/1968,31
7/1/1968,31.1
8/1/1968,31.3
9/1/1968,31
10/1/1968,30.9
11/1/1968,31
12/1/1968,29.6
1/1/1969,29.2
2/1/1969,31.3
3/1/1969,33
4/1/1969,32.5
5/1/1969,30.8
6/1/1969,31
7/1/1969,30.5
8/1/1969,30.5
9/1/1969,29.6
10/1/1969,30.6
11/1/1969,30.6
12/1/1969,30.8
1/1/1970,30.5
2/1/1970,30.2
3/1/1970,29.9
4/1/1970,30.1
5/1/1970,30.9
6/1/1970,31.8
7/1/1970,31.7
8/1/1970,31.4
9/1/1970,31.1
10/1/1970,31.6
11/1/1970,32.2
12/1/1970,32.9
1/1/1971,32.9
2/1/1971,33
3/1/1971,33.2
4/1/1971,33.4
5/1/1971,33.4
6/1/1971,33.4
7/1/1971,33.1
8/1/1971,33.1
9/1/1971,32.8
10/1/1971,32.7
11/1/1971,32.5
12/1/1971,32.2
1/1/1972,32.5
2/1/1972,32.4
3/1/1972,32.5
4/1/1972,32.6
5/1/1972,32.7
6/1/1972,32.8
7/1/1972,32.7
8/1/1972,32.8
9/1/1972,33.2
10/1/1972,33.6
11/1/1972,34.1
12/1/1972,34.5
1/1/1973,34.9
2/1/1973,35.6
3/1/1973,35.8
4/1/1973,36.1
5/1/1973,36
6/1/1973,35.8
7/1/1973,35.5
8/1/1973,35.2
9/1/1973,34.9
10/1/1973,34.4
11/1/1973,34.2
12/1/1973,33.9
1/1/1974,33.3
2/1/1974,32.8
3/1/1974,32.2
4/1/1974,32.9
5/1/1974,34.1
6/1/1974,35.7
7/1/1974,36.9
8/1/1974,38.1
9/1/1974,39.3
10/1/1974,40.6
11/1/1974,41.9
12/1/1974,42
1/1/1975,42.4
2/1/1975,42.7
3/1/1975,42.8
4/1/1975,42.5
5/1/1975,42.4
6/1/1975,42.9
7/1/1975,43.9
8/1/1975,44.7
9/1/1975,45.1
10/1/1975,45.5
11/1/1975,45.8
12/1/1975,45.8
1/1/1976,45.1
2/1/1976,45.8
3/1/1976,47.3
4/1/1976,48.8
5/1/1976,49.8
6/1/1976,50.4
7/1/1976,51
8/1/1976,51.7
9/1/1976,52.3
10/1/1976,52.9
11/1/1976,53.6
12/1/1976,54.5
1/1/1977,55.3
2/1/1977,56.3
3/1/1977,57
4/1/1977,57.2
5/1/1977,56.7
6/1/1977,55.8
7/1/1977,54.9
8/1/1977,53.9
9/1/1977,53.4
10/1/1977,52.7
11/1/1977,52.6
12/1/1977,52.2
1/1/1978,52.6
2/1/1978,52.8
3/1/1978,53.1
4/1/1978,53.5
5/1/1978,54.3
6/1/1978,55.5
7/1/1978,56.6
8/1/1978,57.4
9/1/1978,57.9
10/1/1978,58.4
11/1/1978,58.8
12/1/1978,59.1
1/1/1979,57.9
2/1/1979,58.7
3/1/1979,59.9
4/1/1979,61.2
5/1/1979,62.3
6/1/1979,62.8
7/1/1979,62.3
8/1/1979,61.3
9/1/1979,60.1
10/1/1979,59
11/1/1979,58.3
12/1/1979,58.6
1/1/1980,59.1
2/1/1980,59.4
3/1/1980,59.7
4/1/1980,59.9
5/1/1980,60.2
6/1/1980,60.3
7/1/1980,60.9
8/1/1980,61.5
9/1/1980,63.7
10/1/1980,65.5
11/1/1980,67.8
12/1/1980,69.1
1/1/1981,70.3
2/1/1981,71.3
3/1/1981,72
4/1/1981,72.4
5/1/1981,73.8
6/1/1981,75.6
7/1/1981,77.5
8/1/1981,79.1
9/1/1981,80.9
10/1/1981,82.5
11/1/1981,83.3
12/1/1981,83.6
1/1/1982,84.2
2/1/1982,84.9
3/1/1982,85.8
4/1/1982,86.7
5/1/1982,87.8
6/1/1982,89.4
7/1/1982,90.1
8/1/1982,90.4
9/1/1982,90.6
10/1/1982,90.9
11/1/1982,91.8
